Family;Type;Name;Unique-ID;Template;L (m);Anglevert (°);Angleazi (°);Angleaxis (°);Dx (m);Dy (m);Dz (m);Do (mm);t (mm);Param1;Param2;From-ID;From-Node;To-ID;To-Node;Dwg;Notes
Junction;Connection;Connection;JUNC_48;;0;0;0;0;0;0;1;0;0;;;PIPE_46;B;VOL_50;A;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Volume;Tank;T2;VOL_50;;1.5;-90;0;0;0;0;0;1;0.007;0.8;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Section;Valve bypass;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Junction;Connection;Conn;JUNC_55;;0;0;0;0;0;0;0;0.09793;0.00202;;;PIPE_40;0.5;PIPE_57;A;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Pipe;Pipe;Pipe;PIPE_57;;0.7;0;180;0;0;0;0;0.1;0.00305;1.5;;;0;;0;;
Pipe;Pipe;Pipe;PIPE_58;;0.5;0;270;0;0;0;0;0.1;0.00305;1.5;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Junction;Valve;V2;JUNC_60;;0.2;0;270;0;0;0;0;0.1;0.00305;;;PIPE_58;B;PIPE_62;A;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Pipe;Pipe;Pipe;PIPE_62;;0.5;0;270;0;0;0;0;0.1;0.00305;1.5;;;0;;0;;
Pipe;Pipe;Pipe;PIPE_63;;0.7;0;0;0;0;0;0;0.1;0.00305;1.5;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Junction;Connection;Conn;JUNC_65;;0;0;0;0;0;0;0;0.09793;0.00202;;;PIPE_63;B;PIPE_44;0.5;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Section;Relief valve;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Junction;Connection;Connection;COMP_70;;0;0;0;0;0;0;0;0;0;;;PIPE_46;1;PIPE_72;A;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Pipe;Pipe;Pipe;PIPE_72;;0.7;90;0;0;0;0;0;0.05;0.002;1.5;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Junction;ValvePRV;PRV;COMP_74;;0;90;225;0;0;0;0;0.05;0.002;0.08;;PIPE_72;B;PIPE_76;A;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Pipe;Pipe;Pipe;PIPE_76;;0.7;0;225;0;0;0;0;0.05;0.002;1.5;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Junction;Text;Connection;COMP_80;;0;0;0;0;0;0;0;0.05;0.002;;;COMP_74;0.3;;0;;PRV
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Section;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Junction;Reducer;Connection;COMP_84;;0.3;90;0;0;0;0;0;0.05;0;;;PIPE_46;0.5;COMP_85;A;;
Junction;Valve;Connection;COMP_85;;0.3;90;0;0;0;0;0;0.05;0;;;;0;;0;;
Junction;Pipe;Connection;COMP_86;;0.5;0;270;0;0;0;0;0.05;0;;;;0;;0;;
Junction;;Connection;COMP_87;;1;90;0;0;0;0;0;0.034;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Section;Heat exchanger;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Pipe;Pipe;Pipe;PIPE_91;;1;-90;0;0;0;0;0;0.1;0;1.5;;PIPE_46;1;;0;;
Pipe;Pipe;Pipe;PIPE_92;;1;0;90;0;0;0;0;0.1;0;1.5;;;0;;0;;
Pipe;Pipe;Pipe;PIPE_93;;1;-90;0;0;0;0;0;0.1;0;1.5;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Junction;Connection;Connection;COMP_95;;0;0;0;0;0;0;0;0;0;;;PIPE_93;B;VOL_97;A;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Volume;FlangeInlet;Inlet;VOL_97;;0.4;-90;0;0;0;0;0;0.1;0;;;;0;;0;;
Volume;;;VOL_98;;0.25;0;-180;0;0;0;0;0;0;;;;0;;0;;
Volume;Tank;MainBody;VOL_99;;3;0;0;0;0;0;0;0.4;0;0.2;;;0;;0;;
Volume;;;VOL_100;;2.5;0;-180;0;0;0;0;0;0;;;;0;;0;;
Volume;;Flange;VOL_101;Flange.scad;0;0;-180;0;0;0;0;0.4;0;;;;0;;0;;
Volume;;;VOL_102;;0.25;0;-180;0;0;0;0;0;0;;;;0;;0;;
Volume;FlangeOutlet;Outlet;VOL_103;;0.4;-90;0;0;0;0;0;0.1;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Junction;Connection;Connection;COMP_107;PipeClamp.scad;0;0;0;0;0;0;0;0;0;;;PIPE_58;0.25;;0;;

